file,line,literal,class,sentence,notes
README.md,115,0.006,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,115,0.021,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,115,0.031,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,115,0.007,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,115,0.019,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,115,0.005,HISTORICAL,"+0.009 [−0.027, +0.041], +0.006 [−0.021, +0.031], −0.007 [−0.019, +0.005] and",context carries a past-tense / correction / superseded marker
README.md,116,0.009,HISTORICAL,"−0.009 [−0.016, −0.002] — three ties and a loss. `gargaml` and `stack`",context carries a past-tense / correction / superseded marker
README.md,116,0.016,HISTORICAL,"−0.009 [−0.016, −0.002] — three ties and a loss. `gargaml` and `stack`",context carries a past-tense / correction / superseded marker
README.md,116,0.002,HISTORICAL,"−0.009 [−0.016, −0.002] — three ties and a loss. `gargaml` and `stack`",context carries a past-tense / correction / superseded marker
README.md,117,100%,HISTORICAL,were measured as **anti-signal**: both fire on ~100% of candidates at a mean of,context carries a past-tense / correction / superseded marker
README.md,135,0.088,CURRENT,why the `size` row moved too (0.088 to 0.094 at k=10) despite ignoring the score,first-pass default: reads as a present-tense assertion
README.md,135,0.094,CURRENT,why the `size` row moved too (0.088 to 0.094 at k=10) despite ignoring the score,first-pass default: reads as a present-tense assertion
README.md,139,0.144,CURRENT,"+0.144 [+0.056, +0.244] at k=10. Decomposing the split exactly is a *must",first-pass default: reads as a present-tense assertion
README.md,139,0.056,CURRENT,"+0.144 [+0.056, +0.244] at k=10. Decomposing the split exactly is a *must",first-pass default: reads as a present-tense assertion
README.md,139,0.244,CURRENT,"+0.144 [+0.056, +0.244] at k=10. Decomposing the split exactly is a *must",first-pass default: reads as a present-tense assertion
README.md,156,100.0%,CURRENT,| seed-reachable | 259 | 100.0% | — |,first-pass default: reads as a present-tense assertion
README.md,157,88.8%,CURRENT,| seeded | 230 | 88.8% | **−11.2 pts** |,first-pass default: reads as a present-tense assertion
README.md,158,62.2%,CURRENT,| built (candidate generated) | 161 | 62.2% | **−26.6 pts** |,first-pass default: reads as a present-tense assertion
README.md,159,22.4%,HISTORICAL,| ranked into top 50 | 58 | 22.4% | **−39.8 pts** |,context carries a past-tense / correction / superseded marker
README.md,171,73.3%,CURRENT,**Structural ceiling is 73.3%** — 88 of 370 rings have two or fewer accounts and,first-pass default: reads as a present-tense assertion
README.md,181,0.2778,DERIVED,"**p@10 0.2778 [0.1500, 0.4167] against the v1 hand-set blend's 0.0500,",line asserts a relationship between two numbers
README.md,181,0.1500,DERIVED,"**p@10 0.2778 [0.1500, 0.4167] against the v1 hand-set blend's 0.0500,",line asserts a relationship between two numbers
README.md,181,0.4167,DERIVED,"**p@10 0.2778 [0.1500, 0.4167] against the v1 hand-set blend's 0.0500,",line asserts a relationship between two numbers
README.md,181,0.0500,DERIVED,"**p@10 0.2778 [0.1500, 0.4167] against the v1 hand-set blend's 0.0500,",line asserts a relationship between two numbers
README.md,182,0.2278,DERIVED,"a paired delta of +0.2278 [+0.1167, +0.3500] on a ring-disjoint held-out split",line asserts a relationship between two numbers
README.md,182,0.1167,DERIVED,"a paired delta of +0.2278 [+0.1167, +0.3500] on a ring-disjoint held-out split",line asserts a relationship between two numbers
README.md,182,0.3500,DERIVED,"a paired delta of +0.2278 [+0.1167, +0.3500] on a ring-disjoint held-out split",line asserts a relationship between two numbers
README.md,188,0.0500,HISTORICAL,> 0.0500 it beats is the blend *before* `gargaml` and `stack` were retired.,context carries a past-tense / correction / superseded marker
README.md,190,0.2778,HISTORICAL,"> (`scripts/eval_ranker.py --use-cache`), the pointwise model reaches **0.2778",context carries a past-tense / correction / superseded marker
README.md,191,0.1889,HISTORICAL,"> against the corrected blend's 0.1889, a paired delta of +0.0889 [+0.0333,",context carries a past-tense / correction / superseded marker
README.md,191,0.0889,HISTORICAL,"> against the corrected blend's 0.1889, a paired delta of +0.0889 [+0.0333,",context carries a past-tense / correction / superseded marker
README.md,191,0.0333,HISTORICAL,"> against the corrected blend's 0.1889, a paired delta of +0.0889 [+0.0333,",context carries a past-tense / correction / superseded marker
README.md,192,0.1500,HISTORICAL,> +0.1500]** — where it was +0.2278 before. **The supervised model's lead over,context carries a past-tense / correction / superseded marker
README.md,192,0.2278,HISTORICAL,> +0.1500]** — where it was +0.2278 before. **The supervised model's lead over,context carries a past-tense / correction / superseded marker
README.md,193,60%,HISTORICAL,> the hand-set score has fallen by roughly 60%.** It is still real and still,context carries a past-tense / correction / superseded marker
README.md,201,0.2778,CURRENT,below is why the caveat is the argument rather than a hedge. 0.2778 is not a,first-pass default: reads as a present-tense assertion
README.md,213,90.3%,CURRENT,| **BIPARTITE** | 31 | 28 (90.3%) | **5 (16.1%)** | 1 (3.2%) | **build-destroyed** |,first-pass default: reads as a present-tense assertion
README.md,213,16.1%,CURRENT,| **BIPARTITE** | 31 | 28 (90.3%) | **5 (16.1%)** | 1 (3.2%) | **build-destroyed** |,first-pass default: reads as a present-tense assertion
README.md,213,3.2%,CURRENT,| **BIPARTITE** | 31 | 28 (90.3%) | **5 (16.1%)** | 1 (3.2%) | **build-destroyed** |,first-pass default: reads as a present-tense assertion
README.md,214,100.0%,CURRENT,| **STACK** | 30 | **30 (100.0%)** | **9 (30.0%)** | 2 (6.7%) | **build-destroyed** |,first-pass default: reads as a present-tense assertion
README.md,214,30.0%,CURRENT,| **STACK** | 30 | **30 (100.0%)** | **9 (30.0%)** | 2 (6.7%) | **build-destroyed** |,first-pass default: reads as a present-tense assertion
README.md,214,6.7%,CURRENT,| **STACK** | 30 | **30 (100.0%)** | **9 (30.0%)** | 2 (6.7%) | **build-destroyed** |,first-pass default: reads as a present-tense assertion
README.md,215,90.3%,CURRENT,| SCATTER-GATHER | 31 | 28 (90.3%) | 27 (87.1%) | 16 (51.6%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,215,87.1%,CURRENT,| SCATTER-GATHER | 31 | 28 (90.3%) | 27 (87.1%) | 16 (51.6%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,215,51.6%,CURRENT,| SCATTER-GATHER | 31 | 28 (90.3%) | 27 (87.1%) | 16 (51.6%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,216,92.1%,CURRENT,| GATHER-SCATTER | 38 | 35 (92.1%) | 30 (78.9%) | 9 (23.7%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,216,78.9%,CURRENT,| GATHER-SCATTER | 38 | 35 (92.1%) | 30 (78.9%) | 9 (23.7%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,216,23.7%,CURRENT,| GATHER-SCATTER | 38 | 35 (92.1%) | 30 (78.9%) | 9 (23.7%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,217,83.8%,CURRENT,| CYCLE | 37 | 31 (83.8%) | 28 (75.7%) | 7 (18.9%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,217,75.7%,CURRENT,| CYCLE | 37 | 31 (83.8%) | 28 (75.7%) | 7 (18.9%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,217,18.9%,CURRENT,| CYCLE | 37 | 31 (83.8%) | 28 (75.7%) | 7 (18.9%) | ranking-limited |,first-pass default: reads as a present-tense assertion
README.md,218,83.3%,CURRENT,| FAN-OUT | 36 | 30 (83.3%) | 24 (66.7%) | 11 (30.6%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,218,66.7%,CURRENT,| FAN-OUT | 36 | 30 (83.3%) | 24 (66.7%) | 11 (30.6%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,218,30.6%,CURRENT,| FAN-OUT | 36 | 30 (83.3%) | 24 (66.7%) | 11 (30.6%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,219,86.7%,CURRENT,| FAN-IN | 30 | 26 (86.7%) | 21 (70.0%) | 5 (16.7%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,219,70.0%,CURRENT,| FAN-IN | 30 | 26 (86.7%) | 21 (70.0%) | 5 (16.7%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,219,16.7%,CURRENT,| FAN-IN | 30 | 26 (86.7%) | 21 (70.0%) | 5 (16.7%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,220,84.6%,CURRENT,| RANDOM | 26 | 22 (84.6%) | 17 (65.4%) | 7 (26.9%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,220,65.4%,CURRENT,| RANDOM | 26 | 22 (84.6%) | 17 (65.4%) | 7 (26.9%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,220,26.9%,CURRENT,| RANDOM | 26 | 22 (84.6%) | 17 (65.4%) | 7 (26.9%) | ordinary attrition |,first-pass default: reads as a present-tense assertion
README.md,221,88.8%,CURRENT,| **TOTAL** | **259** | **230 (88.8%)** | **161 (62.2%)** | **58 (22.4%)** | aggregate |,first-pass default: reads as a present-tense assertion
README.md,221,62.2%,CURRENT,| **TOTAL** | **259** | **230 (88.8%)** | **161 (62.2%)** | **58 (22.4%)** | aggregate |,first-pass default: reads as a present-tense assertion
README.md,221,22.4%,CURRENT,| **TOTAL** | **259** | **230 (88.8%)** | **161 (62.2%)** | **58 (22.4%)** | aggregate |,first-pass default: reads as a present-tense assertion
README.md,223,96%,CURRENT,Six of the eight typologies keep 77–96% of their seeded rings through the build,first-pass default: reads as a present-tense assertion
README.md,224,17.9%,CURRENT,stage. BIPARTITE keeps 17.9% and STACK 30.0%. **Those two rows are the build,first-pass default: reads as a present-tense assertion
README.md,224,30.0%,CURRENT,stage. BIPARTITE keeps 17.9% and STACK 30.0%. **Those two rows are the build,first-pass default: reads as a present-tense assertion
README.md,234,90.3%,HISTORICAL,that runs after it. BIPARTITE is the same failure at 90.3% seeded.,context carries a past-tense / correction / superseded marker
README.md,250,50%,CURRENT,- **CONTAINMENT_FAIL** — expansion never reached ≥50% of the ring. *Fix by,first-pass default: reads as a present-tense assertion
README.md,289,0.140,CURRENT,"| hops 2 → 3 | **worse.** BIPARTITE built 0 → 0, STACK 2 → 1. Mean best Jaccard collapsed (BIPARTITE 0.140 → 0.083, STACK 0.153 → 0.075) as mean candidate size ballooned (BIPARTITE 15.2 → 36.4, STACK 19.1 → 52.8). | `data/build_diagnosis_h3.json` |",first-pass default: reads as a present-tense assertion
README.md,289,0.083,CURRENT,"| hops 2 → 3 | **worse.** BIPARTITE built 0 → 0, STACK 2 → 1. Mean best Jaccard collapsed (BIPARTITE 0.140 → 0.083, STACK 0.153 → 0.075) as mean candidate size ballooned (BIPARTITE 15.2 → 36.4, STACK 19.1 → 52.8). | `data/build_diagnosis_h3.json` |",first-pass default: reads as a present-tense assertion
README.md,289,0.153,CURRENT,"| hops 2 → 3 | **worse.** BIPARTITE built 0 → 0, STACK 2 → 1. Mean best Jaccard collapsed (BIPARTITE 0.140 → 0.083, STACK 0.153 → 0.075) as mean candidate size ballooned (BIPARTITE 15.2 → 36.4, STACK 19.1 → 52.8). | `data/build_diagnosis_h3.json` |",first-pass default: reads as a present-tense assertion
README.md,289,0.075,CURRENT,"| hops 2 → 3 | **worse.** BIPARTITE built 0 → 0, STACK 2 → 1. Mean best Jaccard collapsed (BIPARTITE 0.140 → 0.083, STACK 0.153 → 0.075) as mean candidate size ballooned (BIPARTITE 15.2 → 36.4, STACK 19.1 → 52.8). | `data/build_diagnosis_h3.json` |",first-pass default: reads as a present-tense assertion
README.md,302,95%,DERIVED,| k | no pruning | leaf2 | delta | 95% CI | real? |,line asserts a relationship between two numbers
README.md,304,0.085,CURRENT,"| 10 | 0.085 | 0.097 | +0.012 | [-0.021, +0.044] | no |",first-pass default: reads as a present-tense assertion
README.md,304,0.097,CURRENT,"| 10 | 0.085 | 0.097 | +0.012 | [-0.021, +0.044] | no |",first-pass default: reads as a present-tense assertion
README.md,304,0.012,CURRENT,"| 10 | 0.085 | 0.097 | +0.012 | [-0.021, +0.044] | no |",first-pass default: reads as a present-tense assertion
README.md,304,0.021,CURRENT,"| 10 | 0.085 | 0.097 | +0.012 | [-0.021, +0.044] | no |",first-pass default: reads as a present-tense assertion
README.md,304,0.044,CURRENT,"| 10 | 0.085 | 0.097 | +0.012 | [-0.021, +0.044] | no |",first-pass default: reads as a present-tense assertion
README.md,305,0.049,CURRENT,"| 20 | 0.049 | 0.079 | +0.031 | [+0.010, +0.053] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,305,0.079,CURRENT,"| 20 | 0.049 | 0.079 | +0.031 | [+0.010, +0.053] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,305,0.031,CURRENT,"| 20 | 0.049 | 0.079 | +0.031 | [+0.010, +0.053] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,305,0.010,CURRENT,"| 20 | 0.049 | 0.079 | +0.031 | [+0.010, +0.053] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,305,0.053,CURRENT,"| 20 | 0.049 | 0.079 | +0.031 | [+0.010, +0.053] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,306,0.024,CURRENT,"| 50 | 0.024 | 0.043 | +0.019 | [+0.009, +0.029] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,306,0.043,CURRENT,"| 50 | 0.024 | 0.043 | +0.019 | [+0.009, +0.029] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,306,0.019,CURRENT,"| 50 | 0.024 | 0.043 | +0.019 | [+0.009, +0.029] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,306,0.009,CURRENT,"| 50 | 0.024 | 0.043 | +0.019 | [+0.009, +0.029] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,306,0.029,CURRENT,"| 50 | 0.024 | 0.043 | +0.019 | [+0.009, +0.029] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,307,0.015,CURRENT,"| 100 | 0.015 | 0.026 | +0.011 | [+0.006, +0.016] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,307,0.026,CURRENT,"| 100 | 0.015 | 0.026 | +0.011 | [+0.006, +0.016] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,307,0.011,CURRENT,"| 100 | 0.015 | 0.026 | +0.011 | [+0.006, +0.016] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,307,0.006,CURRENT,"| 100 | 0.015 | 0.026 | +0.011 | [+0.006, +0.016] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,307,0.016,CURRENT,"| 100 | 0.015 | 0.026 | +0.011 | [+0.006, +0.016] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,322,0.278,CURRENT,"split, p@10 0.278 [0.150, 0.417] — trained on ground-truth ring labels, which a",first-pass default: reads as a present-tense assertion
README.md,322,0.150,CURRENT,"split, p@10 0.278 [0.150, 0.417] — trained on ground-truth ring labels, which a",first-pass default: reads as a present-tense assertion
README.md,322,0.417,CURRENT,"split, p@10 0.278 [0.150, 0.417] — trained on ground-truth ring labels, which a",first-pass default: reads as a present-tense assertion
README.md,356,95%,CURRENT,| ranking | p@10 | 95% CI | p@20 | p@50 |,first-pass default: reads as a present-tense assertion
README.md,358,0.2778,CURRENT,"| **supervised (TRUE LABELS — not deployable; see [the label tax](#the-label-tax--why-the-caveat-is-the-argument))** | **0.2778** | [0.1500, 0.4167] | 0.1500 | 0.0689 |",first-pass default: reads as a present-tense assertion
README.md,358,0.1500,CURRENT,"| **supervised (TRUE LABELS — not deployable; see [the label tax](#the-label-tax--why-the-caveat-is-the-argument))** | **0.2778** | [0.1500, 0.4167] | 0.1500 | 0.0689 |",first-pass default: reads as a present-tense assertion
README.md,358,0.4167,CURRENT,"| **supervised (TRUE LABELS — not deployable; see [the label tax](#the-label-tax--why-the-caveat-is-the-argument))** | **0.2778** | [0.1500, 0.4167] | 0.1500 | 0.0689 |",first-pass default: reads as a present-tense assertion
README.md,358,0.1500,CURRENT,"| **supervised (TRUE LABELS — not deployable; see [the label tax](#the-label-tax--why-the-caveat-is-the-argument))** | **0.2778** | [0.1500, 0.4167] | 0.1500 | 0.0689 |",first-pass default: reads as a present-tense assertion
README.md,358,0.0689,CURRENT,"| **supervised (TRUE LABELS — not deployable; see [the label tax](#the-label-tax--why-the-caveat-is-the-argument))** | **0.2778** | [0.1500, 0.4167] | 0.1500 | 0.0689 |",first-pass default: reads as a present-tense assertion
README.md,359,0.0500,CURRENT,"| v1 hand-set blend (shipped) | 0.0500 | [0.0222, 0.0778] | 0.0389 | 0.0244 |",first-pass default: reads as a present-tense assertion
README.md,359,0.0222,CURRENT,"| v1 hand-set blend (shipped) | 0.0500 | [0.0222, 0.0778] | 0.0389 | 0.0244 |",first-pass default: reads as a present-tense assertion
README.md,359,0.0778,CURRENT,"| v1 hand-set blend (shipped) | 0.0500 | [0.0222, 0.0778] | 0.0389 | 0.0244 |",first-pass default: reads as a present-tense assertion
README.md,359,0.0389,CURRENT,"| v1 hand-set blend (shipped) | 0.0500 | [0.0222, 0.0778] | 0.0389 | 0.0244 |",first-pass default: reads as a present-tense assertion
README.md,359,0.0244,CURRENT,"| v1 hand-set blend (shipped) | 0.0500 | [0.0222, 0.0778] | 0.0389 | 0.0244 |",first-pass default: reads as a present-tense assertion
README.md,360,0.0333,CURRENT,"| size | 0.0333 | [0.0111, 0.0556] | 0.0389 | 0.0233 |",first-pass default: reads as a present-tense assertion
README.md,360,0.0111,CURRENT,"| size | 0.0333 | [0.0111, 0.0556] | 0.0389 | 0.0233 |",first-pass default: reads as a present-tense assertion
README.md,360,0.0556,CURRENT,"| size | 0.0333 | [0.0111, 0.0556] | 0.0389 | 0.0233 |",first-pass default: reads as a present-tense assertion
README.md,360,0.0389,CURRENT,"| size | 0.0333 | [0.0111, 0.0556] | 0.0389 | 0.0233 |",first-pass default: reads as a present-tense assertion
README.md,360,0.0233,CURRENT,"| size | 0.0333 | [0.0111, 0.0556] | 0.0389 | 0.0233 |",first-pass default: reads as a present-tense assertion
README.md,361,0.0167,CURRENT,"| degree | 0.0167 | [0.0000, 0.0389] | 0.0278 | 0.0211 |",first-pass default: reads as a present-tense assertion
README.md,361,0.0000,CURRENT,"| degree | 0.0167 | [0.0000, 0.0389] | 0.0278 | 0.0211 |",first-pass default: reads as a present-tense assertion
README.md,361,0.0389,CURRENT,"| degree | 0.0167 | [0.0000, 0.0389] | 0.0278 | 0.0211 |",first-pass default: reads as a present-tense assertion
README.md,361,0.0278,CURRENT,"| degree | 0.0167 | [0.0000, 0.0389] | 0.0278 | 0.0211 |",first-pass default: reads as a present-tense assertion
README.md,361,0.0211,CURRENT,"| degree | 0.0167 | [0.0000, 0.0389] | 0.0278 | 0.0211 |",first-pass default: reads as a present-tense assertion
README.md,362,0.0000,CURRENT,"| random | 0.0000 | [0.0000, 0.0000] | 0.0000 | 0.0000 |",first-pass default: reads as a present-tense assertion
README.md,362,0.0000,CURRENT,"| random | 0.0000 | [0.0000, 0.0000] | 0.0000 | 0.0000 |",first-pass default: reads as a present-tense assertion
README.md,362,0.0000,CURRENT,"| random | 0.0000 | [0.0000, 0.0000] | 0.0000 | 0.0000 |",first-pass default: reads as a present-tense assertion
README.md,362,0.0000,CURRENT,"| random | 0.0000 | [0.0000, 0.0000] | 0.0000 | 0.0000 |",first-pass default: reads as a present-tense assertion
README.md,362,0.0000,CURRENT,"| random | 0.0000 | [0.0000, 0.0000] | 0.0000 | 0.0000 |",first-pass default: reads as a present-tense assertion
README.md,364,0.2285,CURRENT,Average precision 0.2285. The size baseline is quoted beside the headline,first-pass default: reads as a present-tense assertion
README.md,369,0.2778,CURRENT,"**The denominator inflates that 0.2778, and by roughly a tenth.** p@k here is",first-pass default: reads as a present-tense assertion
README.md,373,0.2778,CURRENT,"on this same split, and for its pointwise fit the same model scores **0.2778",first-pass default: reads as a present-tense assertion
README.md,374,0.2500,CURRENT,candidate-level against 0.2500 distinct-ring** at k=10,first-pass default: reads as a present-tense assertion
README.md,377,0.2778,DERIVED,"computes only the candidate-level figure, so **its 0.2778 — the identical",line asserts a relationship between two numbers
README.md,380,0.2500,CURRENT,distinct-ring reading of the headline is therefore 0.2500. Read,first-pass default: reads as a present-tense assertion
README.md,388,95%,DERIVED,| k | delta | 95% CI | excludes zero? |,line asserts a relationship between two numbers
README.md,390,0.2278,CURRENT,"| 10 | **+0.2278** | [+0.1167, +0.3500] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,390,0.1167,CURRENT,"| 10 | **+0.2278** | [+0.1167, +0.3500] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,390,0.3500,CURRENT,"| 10 | **+0.2278** | [+0.1167, +0.3500] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,391,0.1111,CURRENT,"| 20 | +0.1111 | [+0.0528, +0.1778] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,391,0.0528,CURRENT,"| 20 | +0.1111 | [+0.0528, +0.1778] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,391,0.1778,CURRENT,"| 20 | +0.1111 | [+0.0528, +0.1778] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,392,0.0444,CURRENT,"| 50 | +0.0444 | [+0.0222, +0.0678] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,392,0.0222,CURRENT,"| 50 | +0.0444 | [+0.0222, +0.0678] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,392,0.0678,CURRENT,"| 50 | +0.0444 | [+0.0222, +0.0678] | **yes** |",first-pass default: reads as a present-tense assertion
README.md,394,0.0045,CURRENT,The stored F1 of 0.0045 is **not** interpreted and should not be quoted without,first-pass default: reads as a present-tense assertion
README.md,395,0.1%,CURRENT,this clause: a fixed 0.5 threshold on a pool with roughly 0.1% positives,first-pass default: reads as a present-tense assertion
README.md,405,0.2778,DERIVED,"reaches **p@10 0.2778 [0.1500, 0.4167]**, with a paired delta over the v1 blend",line asserts a relationship between two numbers
README.md,405,0.1500,DERIVED,"reaches **p@10 0.2778 [0.1500, 0.4167]**, with a paired delta over the v1 blend",line asserts a relationship between two numbers
README.md,405,0.4167,DERIVED,"reaches **p@10 0.2778 [0.1500, 0.4167]**, with a paired delta over the v1 blend",line asserts a relationship between two numbers
README.md,406,0.2278,CURRENT,"of **+0.2278 [+0.1167, +0.3500]** (`data/eval_ranker.json`,",first-pass default: reads as a present-tense assertion
README.md,406,0.1167,CURRENT,"of **+0.2278 [+0.1167, +0.3500]** (`data/eval_ranker.json`,",first-pass default: reads as a present-tense assertion
README.md,406,0.3500,CURRENT,"of **+0.2278 [+0.1167, +0.3500]** (`data/eval_ranker.json`,",first-pass default: reads as a present-tense assertion
README.md,409,0.2778,DERIVED,"**The two agree exactly, to every digit.** Both report p@10 0.2778 [0.1500,",line asserts a relationship between two numbers
README.md,409,0.1500,DERIVED,"**The two agree exactly, to every digit.** Both report p@10 0.2778 [0.1500,",line asserts a relationship between two numbers
